Id,Label,Index_Year
陳汝器,陳汝器,1046
陳瓔,陳瓔,1049
傅野,傅野,1017
傅翼,傅翼,1043
傅代言,傅代言,981
余疇若,余疇若,
黃曦,黃曦,1070
陳世南,陳世南,
饒昌齡,饒昌齡,983
饒景先,饒景先,1013
饒見先,饒見先,1013
王幾,王幾,
張延之,張延之,
陳公燮,陳公燮,
史詔,史詔,1064
趙彥悈,趙彥悈,1175
江泰之,江泰之,
汪堅老,汪堅老,
李纓,李纓,
李伯敏,李伯敏,
利元吉,利元吉,1160
邵叔誼,邵叔誼,
楊國寶,楊國寶,1037
侯紹曾,侯紹曾,
黃師雍,黃師雍,1196
孫鼛,孫鼛,1042
畢仲游,畢仲游,1047
李中行,李中行,
章援,章援,1058
崔閑,崔閑,
鄭少微,鄭少微,1058
史繩祖,史繩祖,
許玠,許玠,
稅與權,稅與權,
呂稽中,呂稽中,
范淑,范淑,
江衍,江衍,1031
管師復,管師復,1038
管師常,管師常,1040
汪革,汪革,1067
汪莘,汪莘,1098
陳孔碩,陳孔碩,1145
李知微,李知微,1138
汪大亨,汪大亨,1137
趙燁,趙燁,1138
杜旟,杜旟,
王莘叟,王莘叟,
徐堯臣,徐堯臣,1118
孟行古,孟行古,
康文虎,康文虎,
黃人傑,黃人傑,1136
鞏峴,鞏峴,1118
康文豹,康文豹,
宋完,宋完,
方伯載,方伯載,
宋剛仲,宋剛仲,
宋文仲,宋文仲,
趙方,趙方,1158
王居仁,王居仁,1142
侯世昭,侯世昭,
薛弼,薛弼,1088
王凝,王凝,1046
鄭昌齡,鄭昌齡,1091
王趯,王趯,1116
王略,王略,
毛壽朋,毛壽朋,
吳雅,吳雅,1182
丘崇,丘崇,
焦位,焦位,
徐孳,徐孳,
王履,王履,
金文剛,金文剛,1188
李遇,李遇,1178
孔元龍,孔元龍,1178
呂中,呂中,
呂仁,呂仁,
呂良才,呂良才,
林存,林存,1208
阮秀實,阮秀實,
王端朝,王端朝,1123
周世則,周世則,1124
方升,方升,
林肅,林肅,1146
